Unnamed: 0,Title,id,rating,genres,Release year
0,Dune: Part Two,693134,PG-13,Science Fiction;Adventure,2024
1,Kung Fu Panda 4,1011985,PG,Animation;Action;Family;Comedy;Fantasy,2024
2,Godzilla x Kong: The New Empire,823464,PG-13,Science Fiction;Action;Adventure,2024
3,Road House,359410,R,Action;Thriller,2024
4,Heart of the Hunter,1181548,R,Action;Mystery;Thriller,2024
5,Madame Web,634492,PG-13,Action;Fantasy,2024
6,Migration,940551,PG,Animation;Action;Adventure;Comedy;Family,2023
7,Imaginary,1125311,PG-13,Horror;Mystery;Thriller,2024
8,Dune,438631,PG-13,Science Fiction;Adventure,2021
9,Damsel,763215,PG-13,Fantasy;Action;Adventure,2024
10,No Way Up,1096197,R,Action;Horror;Thriller,2024
11,The First Omen,437342,R,Horror,2024
12,Oppenheimer,872585,R,Drama;History,2023
13,Land of Bad,969492,R,Action;Thriller;War,2024
14,Argylle,848538,PG-13,Action;Adventure;Comedy,2024
15,Godzilla vs. Kong,399566,PG-13,Action;Science Fiction;Adventure,2021
16,Poor Things,792307,R,Science Fiction;Romance;Comedy,2023
17,Vikings: Battle of Heirs,1049948,PG,Action,2023
18,Wonka,787699,PG,Comedy;Family;Fantasy,2023
19,Megamind vs. the Doom Syndicate,1239251,G,Animation;Comedy;Science Fiction,2024
20,Code 8 Part II,932420,R,Science Fiction;Action;Crime,2024
21,Air Force One Down,1124127,R,Action;Thriller,2024
22,Wish,1022796,PG,Animation;Family;Fantasy;Adventure,2023
23,Fast X,385687,PG-13,Action;Crime;Thriller,2023
24,Anyone But You,1072790,R,Romance;Comedy,2023
25,Civil War,929590,R,War;Action;Drama,2024
26,Godzilla: King of the Monsters,373571,PG-13,Science Fiction;Action,2019
27,The Shawshank Redemption,278,R,Drama;Crime,1994
28,The Marvels,609681,PG-13,Science Fiction;Adventure;Action,2023
29,Ghostbusters: Frozen Empire,967847,PG-13,Fantasy;Adventure;Comedy,2024
30,Barbie,346698,PG-13,Comedy;Adventure,2023
31,Freelance,897087,R,Action;Comedy,2023
32,Baghead,845783,PG-13,Horror,2023
33,The Batman,414906,PG-13,Crime;Mystery;Thriller,2022
34,The American Society of Magical Negroes,1039773,PG-13,Fantasy;Comedy,2024
35,Godzilla,124905,PG-13,Action;Drama;Science Fiction,2014
36,The Beekeeper,866398,R,Action;Thriller;Drama,2024
37,The Super Mario Bros. Movie,502356,PG,Animation;Family;Adventure;Fantasy;Comedy,2023
38,Aquaman and the Lost Kingdom,572802,PG-13,Action;Adventure;Fantasy,2023
39,Napoleon,753342,R,History;War;Romance,2023
40,Spider-Man: No Way Home,634649,PG-13,Action;Adventure;Science Fiction,2021
41,Avengers: Infinity War,299536,PG-13,Adventure;Action;Science Fiction,2018
42,Transformers: Rise of the Beasts,667538,PG-13,Action;Adventure;Science Fiction,2023
43,The Flash,298618,PG-13,Action;Adventure;Science Fiction,2023
44,Avatar: The Way of Water,76600,PG,Science Fiction;Adventure;Action,2022
45,xXx,7451,PG-13,Action;Adventure;Thriller;Crime,2002
46,The Thundermans Return,1094556,G,Family;Science Fiction;Action;Comedy,2024
47,Elemental,976573,PG,Animation;Comedy;Family;Fantasy;Romance,2023
48,The Zone of Interest,467244,PG-13,History;Drama,2023
49,Ruthless,984249,R,Action;Thriller,2023
50,The Hunger Games: The Ballad of Songbirds & Snakes,695721,PG-13,Drama;Science Fiction;Action,2023
51,Kong: Skull Island,293167,PG-13,Action;Adventure;Fantasy,2017
52,The Family Plan,1029575,PG-13,Action;Comedy,2023
53,The Weapon,1081620,R,Action,2023
54,Spider-Man: Across the Spider-Verse,569094,PG,Animation;Action;Adventure;Science Fiction,2023
55,Kung Fu Panda,9502,PG,Action;Adventure;Animation;Family;Comedy,2008
56,Puss in Boots: The Last Wish,315162,PG,Animation;Adventure;Fantasy;Comedy;Family,2022
57,John Wick: Chapter 4,603692,R,Action;Thriller;Crime,2023
58,Ghostbusters,43074,PG-13,Action;Fantasy;Comedy,2016
59,Deadpool,293660,R,Action;Adventure;Comedy,2016
60,Aquaman,297802,PG-13,Action;Adventure;Fantasy,2018
61,Turning Red,508947,PG,Animation;Family;Comedy;Fantasy,2022
62,Inside Out,150540,PG,Animation;Family;Adventure;Drama;Comedy,2015
63,Thor: Ragnarok,284053,PG-13,Action;Adventure;Science Fiction,2017
64,The Maze Runner,198663,PG-13,Action;Mystery;Science Fiction;Thriller,2014
65,The Masked Saint,370464,PG-13,Crime;Action,2016
66,Interstellar,157336,PG-13,Adventure;Drama;Science Fiction,2014
67,Bird Box,405774,R,Horror;Thriller;Drama,2018
68,X,760104,R,Horror;Thriller;Mystery,2022
69,Bob Marley: One Love,802219,PG-13,Music;History;Drama,2024
71,Wonder Woman,297762,PG-13,Action;Adventure;Fantasy,2017
72,Joker,475557,R,Crime;Thriller;Drama,2019
73,Inception,27205,PG-13,Action;Science Fiction;Adventure,2010
74,The Creator,670292,PG-13,Action;Adventure;Science Fiction,2023
75,Ordinary Angels,974036,PG,Drama,2024
76,Expend4bles,299054,R,Action;Adventure;Thriller,2023
77,Coach Carter,7214,PG-13,Drama;History,2005
78,Spider-Man: Into the Spider-Verse,324857,PG,Animation;Action;Adventure;Science Fiction,2018
79,PAW Patrol: The Mighty Movie,893723,PG,Animation;Family;Action;Science Fiction;Comedy;Drama;Adventure,2023
81,The Matrix,603,R,Action;Science Fiction,1999
82,Mission: Impossible - Dead Reckoning Part One,575264,PG-13,Action;Thriller,2023
83,Iron Man 2,10138,PG-13,Adventure;Action;Science Fiction,2010
85,Rebel Moon - Part One: A Child of Fire,848326,PG-13,Science Fiction;Drama;Action,2023
86,To Your Last Death,366171,R,Animation;Horror,2019
87,Kung Fu Panda 3,140300,PG,Action;Adventure;Animation;Comedy;Family,2016
88,Drive-Away Dolls,957304,R,Comedy;Crime,2024
89,Trolls Band Together,901362,PG,Animation;Family;Music;Fantasy;Comedy,2023
90,Kung Fu Panda 2,49444,PG,Animation;Family;Comedy,2011
91,Charlie and the Chocolate Factory,118,PG,Adventure;Comedy;Family;Fantasy,2005
92,The Casagrandes Movie,1216512,PG,Animation;Comedy;Family,2024
93,The Hill,862557,PG,History;Drama,2023
94,Arthur the King,618588,PG-13,Adventure;Drama,2024
95,Música,968441,PG-13,Romance;Comedy;Music,2024
96,The Lord of the Rings: The Fellowship of the Ring,120,PG-13,Adventure;Fantasy;Action,2001
97,Black Panther,284054,PG-13,Action;Adventure;Science Fiction,2018
98,Black Adam,436270,PG-13,Action;Adventure;Science Fiction,2022
99,Orion and the Dark,1139829,PG,Animation;Family;Comedy;Fantasy,2024
100,Guardians of the Galaxy Vol. 3,447365,PG-13,Science Fiction;Adventure;Action,2023
101,Pulp Fiction,680,R,Thriller;Crime,1994
102,Captain Marvel,299537,PG-13,Action;Adventure;Science Fiction,2019
103,Fifty Shades of Grey,216015,R,Drama;Romance;Thriller,2015
104,Leo,1075794,PG,Animation;Comedy;Family,2023
105,Lift,955916,PG-13,Action;Comedy;Crime,2024
106,The Judge,205587,R,Drama,2014
107,Blade Runner 2049,335984,R,Science Fiction;Drama,2017
108,Five Nights at Freddy's,507089,PG-13,Horror;Mystery,2023
109,Ghostbusters: Afterlife,425909,PG-13,Fantasy;Comedy;Adventure;Science Fiction,2021
110,King Kong,254,PG-13,Adventure;Drama;Action,2005
112,Miller's Girl,1026436,R,Comedy;Drama;Mystery;Thriller,2024
113,Split,381288,PG-13,Horror;Thriller,2017
114,Tenet,577922,PG-13,Action;Thriller;Science Fiction,2020
115,Meg 2: The Trench,615656,PG-13,Action;Science Fiction;Horror,2023
116,Due Justice,982940,R,Action;Thriller;Crime,2023
117,Harry Potter and the Prisoner of Azkaban,673,PG,Adventure;Fantasy,2004
118,Deadpool 2,383498,PG-13,Action;Comedy;Adventure,2018
119,Killers of the Flower Moon,466420,R,Crime;History;Drama,2023
120,Harry Potter and the Chamber of Secrets,672,PG,Adventure;Fantasy,2002
121,Snack Shack,1037113,R,Comedy,2024
122,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,PG,Adventure;Family;Fantasy,2005
123,Monkey Man,560016,R,Action;Thriller,2024
124,Top Gun: Maverick,361743,PG-13,Action;Drama,2022
125,Pirates of the Caribbean: The Curse of the Black Pearl,22,PG-13,Adventure;Fantasy;Action,2003
126,The Bricklayer,927107,R,Action;Thriller,2023
127,Shang-Chi and the Legend of the Ten Rings,566525,PG-13,Action;Adventure;Fantasy,2021
129,Tangled,38757,PG,Animation;Family,2010
130,Twilight,8966,PG-13,Fantasy;Drama;Romance,2008
131,Toy Story,862,G,Animation;Adventure;Family;Comedy,1995
132,Prey,766507,R,Thriller;Action;Science Fiction,2022
133,"Monsters, Inc.",585,G,Animation;Comedy;Family,2001
134,Mean Girls,673593,PG-13,Comedy,2024
135,Shrek,808,PG,Animation;Comedy;Fantasy;Adventure;Family,2001
136,Logan,263115,R,Action;Drama;Science Fiction,2017
137,Spider-Man: Homecoming,315635,PG-13,Action;Adventure;Science Fiction;Drama,2017
138,Avengers: Endgame,299534,PG-13,Adventure;Science Fiction;Action,2019
139,Stopmotion,840889,R,Horror,2024
140,The Equalizer 3,926393,R,Action;Thriller;Crime,2023
141,Mad Max: Fury Road,76341,R,Action;Adventure;Science Fiction,2015
142,Harry Potter and the Goblet of Fire,674,PG-13,Adventure;Fantasy,2005
143,Encanto,568124,PG,Animation;Comedy;Family;Fantasy,2021
