Unnamed: 0,Title,id,rating,genres,Release year,Overview
0,Dune: Part Two,693134,PG-13,Science Fiction;Adventure,2024,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee."
1,Kung Fu Panda 4,1011985,PG,Animation;Family;Fantasy;Action,2024,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past."
2,Godzilla x Kong: The New Empire,823464,PG-13,Action;Adventure;Science Fiction,2024,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own."
3,Road House,359410,R,Action;Thriller,2024,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
4,Heart of the Hunter,1181548,R,Action,2024,A retired assassin is pulled back into action when his friend uncovers a dangerous conspiracy at the heart of the South African government.
5,Madame Web,634492,PG-13,Action;Fantasy,2024,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present."
6,Migration,940551,PG,Animation;Action;Adventure;Comedy;Family,2023,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica."
7,Imaginary,1125311,PG-13,Horror;Mystery;Thriller,2024,"When Jessica moves back into her childhood home with her family, her youngest stepdaughter Alice develops an eerie attachment to a stuffed bear named Chauncey she finds in the basement. Alice starts playing games with Chauncey that begin playful and become increasingly sinister. As Alice’s behavior becomes more and more concerning, Jessica intervenes only to realize Chauncey is much more than the stuffed toy bear she believed him to be."
8,Dune,438631,PG-13,Science Fiction;Adventure,2021,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive."
9,Damsel,763215,PG-13,Fantasy;Action;Adventure,2024,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.
10,No Way Up,1096197,R,Thriller;Horror;Action,2024,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.
11,The First Omen,437342,R,Horror,2024,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
12,Oppenheimer,872585,R,Drama;History,2023,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.
13,Land of Bad,969492,R,Action;War;Thriller,2024,"When a Delta Force special ops mission goes terribly wrong, Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above, the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy."
14,Argylle,848538,PG-13,Action;Adventure;Comedy,2024,"When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden, a cat-allergic spy, Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur."
15,Godzilla vs. Kong,399566,PG-13,Action;Science Fiction;Adventure,2021,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages."
16,Poor Things,792307,R,Science Fiction;Romance;Comedy,2023,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation."
17,Vikings: Battle of Heirs,1049948,PG,Action,2023,"A young Viking must come to terms with the realization that he may be the King's son, who was switched at birth, but not before others try to take his rightful place."
18,Wonka,787699,PG,Comedy;Family;Fantasy,2023,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible."
19,Megamind vs. the Doom Syndicate,1239251,G,Animation;Comedy;Science Fiction,2024,"Megamind's former villain team, The Doom Syndicate, has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne, Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon."
